date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
44259,25.7,23.5,29,,,,7.1,,1012.6,
44260,22.7,19.5,29.2,,,,15,,1012.5,
44261,20.7,14.7,26,,,,5.4,,1013.4,
44262,23.4,16.7,28.9,,,,5.8,,1012.1,
44263,26,20.6,32.6,,,,5.1,,1013.4,
44264,21.1,15.1,33.5,,,,9.1,,1016.6,
44265,24.2,20.8,29,,,,8.4,,1012.4,
44266,25.7,22,31.2,0.1,,,7.1,,1011.3,
44267,24.4,20,31.2,0.1,,,8.2,,1014.1,
44268,23.7,18.4,29,0.1,,,7.5,,1016.2,
44269,24.9,19.9,29.8,,,,6.8,,1017.2,
44270,24.4,21.2,30.5,,,,7.6,,1015.2,
44271,22.6,21.5,27,4.7,,,9.1,,1008.3,
44272,19.3,15,23.7,1.5,,,14.3,,1012.2,
44273,16.2,10.5,20.8,,,,6,,1019.2,
44274,18.5,12.7,24,,,,9.4,,1016.4,
44275,19.6,17.2,24.2,17.5,,,6.7,,1013.3,
44276,19.3,16,24.5,,,,5.5,,1019.6,
44277,19.3,13.6,24.4,,,,4.7,,1020.8,
44278,20.7,15.7,25.7,,,,4.5,,1017.4,
44279,23.2,19.8,27.4,,,,7.6,,1015.8,
44280,21.3,20.2,27.4,64,,,8.5,,1011.8,
44281,21.2,18.8,23.7,5,,,4.4,,1010.1,
44282,20.6,18.6,24.2,3.7,,,4,,1011.2,
44283,20.4,16.8,24.7,,,,2.6,,1012.1,
44284,20.2,17,24.7,,,,6.9,,1016,
44285,19.2,13.1,24,,,,5.9,,1018.6,
44286,19.9,15.2,24,,,,7.1,,1018.7,
44287,21,19.2,24.2,,,,8.3,,1018.7,
44288,21.2,18.7,24.6,,,,7.5,,1019.8,
44289,22,19.2,25.7,,,,9.3,,1019.5,
44290,22.3,19.5,26.6,,,,6.8,,1017.4,
44291,24.1,21.2,28.5,,,,6.9,,1015,
44292,24.3,20.7,29,,,,6,,1016.4,
44293,25.5,22,29.4,,,,10.5,,1015.5,
44294,24.4,21.4,29.4,,,,9.1,,1011.8,
44295,21.5,20.5,26.2,32.9,,,3.5,,1012.8,
44296,21.3,20.6,23.4,7,,,7.7,,1009.5,
44297,19.4,15,21.7,18,2,,10.8,,1010.9,
44298,18.4,12.2,25.8,,,,3.7,,1019.6,
44299,19,12,25.8,,,,3.3,,1021.4,
44300,18.9,14,25.8,,,,6.1,,1017.5,
44301,20.6,16.2,26.1,,,,2.3,,1013.8,
44302,20.7,16.4,26.3,,,,3.6,,1014.6,
44303,20.7,16.2,26.3,,,,4.1,,1017.2,
44304,20.2,17.6,25.7,,,,8.3,,1018.8,
44305,21.4,17.8,24.8,,,,12.7,,1019.9,
44306,21.6,18.3,25.1,,,,12.1,,1019.9,
44307,21.8,19,25.5,,,,18.6,,1017.4,
44308,21.7,19,25.4,,,,13.4,,1014.9,
44309,22,17.3,27,,,,11,,1013.6,
44310,18.2,15.3,27.3,,2,,7.1,,1014.9,
44311,16.2,10.8,22.8,,,,6.5,,1019.3,
44312,16,11.2,21.2,,,,2.5,,1020.2,
44313,16.3,11.7,22.2,,,,4.2,,1019.8,
44314,17.9,11.7,24.2,,,,4.7,,1021.2,
44315,18.8,12.2,24.5,,,,5.6,,1022.5,
44316,19.2,14.6,24.4,,,,8.6,,1019.6,
44317,20,16.5,25.7,,,,6.3,,1016.3,
44318,21,15.6,26.7,,,,6.7,,1013.6,
44319,21.5,18.8,26.7,13,,,7.5,,1009.7,
44320,14.9,10.2,23,5.4,2,,12,,1021.8,
44321,12.2,7.7,17,,,,9.2,,1026.6,
44322,11.6,6,18.7,,,,5.1,,1025.6,
44323,11.4,5,19.1,,,,3.8,,1026.2,
44324,14.8,8.8,18.2,,,,9.2,,1026.5,
44325,15.4,12.6,18.5,,,,4.7,,1022.5,
44326,14.3,12,18.7,,,,6.7,,1022.3,
44327,11.7,5,18.8,,,,4.5,,1023.9,
44328,12.7,5.5,20,,,,4.9,,1021.5,
44329,13.8,8.7,20.6,,,,5.8,,1021.3,
44330,13.4,8.7,21,,,,4.1,,1021.4,
44331,12.5,5.7,20.9,,,,2.3,,1020.3,
44332,12.9,8.2,20.2,,,,2.4,,1019.7,
44333,12.4,7.2,19.5,,,,3.2,,1021.5,
44334,11.1,6,18.8,,,,4,,1020.8,
44335,12.9,8.9,17.2,,,,8.4,,1017.7,
